,symbol,expiry,strike,bid_price_call,ask_price_call,mid_price_call,last_price_call,volume_call,ib_bid_delta_call,implied_vol_mid_point_call,mid_point_delta_call,bid_price_put,ask_price_put,mid_price_put,last_price_put,volume_put,ib_bid_delta_put,implied_vol_mid_point_put,mid_point_delta_put,und_price,tte
112,GME,2021-06-25,272.5,,,,34.45,18.0,,,,,,,,1.0,,,,272.010009765625,0.045454545454545456
113,GME,2021-06-25,275.0,,,,33.11,20.0,,,,,,,36.15,18.0,,,,272.010009765625,0.045454545454545456
114,GME,2021-06-25,277.5,,,,31.75,6.0,,,,,,,38.1,2.0,,,,272.010009765625,0.045454545454545456
115,GME,2021-06-25,280.0,30.25,32.3,31.275,31.15,24.0,0.5234746173336933,1.5027648944515095,0.5278373088534918,,,,39.5,10.0,,,,272.010009765625,0.045454545454545456
116,GME,2021-06-25,282.5,,,,37.62,8.0,,,,,,,40.65,5.0,,,,272.010009765625,0.045454545454545456
117,GME,2021-06-25,285.0,,,,31.0,60.0,,,,,,,,,,,,272.010009765625,0.045454545454545456
118,GME,2021-06-25,287.5,,,,,17.0,,,,43.25,45.8,44.525,,2.0,-0.4944553758615829,1.5355824132203677,-0.501199442992113,272.010009765625,0.045454545454545456
119,GME,2021-06-25,290.0,26.8,28.35,27.575000000000003,27.9,8.0,0.4792785961342085,1.5070894971031064,0.48458168476272345,,,,,3.0,,,,272.010009765625,0.045454545454545456
120,GME,2021-06-25,292.5,,,,,,,,,,,,46.4,3.0,,,,272.010009765625,0.045454545454545456
121,GME,2021-06-25,295.0,,,,27.05,8.0,,,,48.55,50.85,49.7,50.4,2.0,-0.5237532181724099,1.5504539187251634,-0.5309779789639912,272.010009765625,0.045454545454545456
122,GME,2021-06-25,297.5,,,,26.25,4.0,,,,,,,,,,,,272.010009765625,0.045454545454545456
123,GME,2021-06-25,300.0,24.0,25.35,24.675,24.3,280.0,0.43890269506414337,1.528857545735187,0.44531519091445704,,,,55.0,6.0,,,,272.010009765625,0.045454545454545456
124,GME,2021-06-25,302.5,,,,,9.0,,,,53.95,56.3,55.125,,1.0,-0.553866697647985,1.5671692300895277,-0.5590238513975769,272.010009765625,0.045454545454545456
125,GME,2021-06-25,305.0,,,,25.71,13.0,,,,,,,60.0,3.0,,,,272.010009765625,0.045454545454545456
126,GME,2021-06-25,307.5,,,,23.0,2.0,,,,57.6,60.0,58.8,,,-0.573206487639336,1.5761988574898391,-0.5771112510835616,272.010009765625,0.045454545454545456
127,GME,2021-06-25,310.0,21.35,22.75,22.05,21.9,10.0,0.40087604273892036,1.547158589054155,0.4084989187955351,,,,64.0,3.0,,,,272.010009765625,0.045454545454545456
128,GME,2021-06-25,312.5,,,,,1.0,,,,61.45,63.8,62.625,,,-0.5915294860822373,1.5883336831981147,-0.5940890173957385,272.010009765625,0.045454545454545456
129,GME,2021-06-25,315.0,,,,,1.0,,,,63.65,65.7,64.675,,1.0,-0.5993576130810517,1.599289093440656,-0.6015985067665526,272.010009765625,0.045454545454545456
130,GME,2021-06-25,320.0,19.1,20.6,19.85,21.6,31.0,0.36601710252748065,1.5704388556405724,0.37529003530133587,,,,71.0,15.0,,,,272.010009765625,0.045454545454545456
131,GME,2021-06-25,325.0,,,,,1.0,,,,,,,,,,,,272.010009765625,0.045454545454545456
