,data_collection_time,symbol,expiry,strike,kind,und_price,bid_price,ask_price,mid_price,last_price,volume,ib_bid_delta
1175,2021-06-25 11:54:47.235314,AMC,2021-07-02,2.0,C,54.33100128173828,51.85,52.45,52.150000000000006,,,
1176,2021-06-25 11:54:47.235314,AMC,2021-07-02,2.5,C,54.33100128173828,51.5,51.9,51.7,52.7,5.0,
1177,2021-06-25 11:54:47.235314,AMC,2021-07-02,3.0,C,54.33100128173828,50.95,51.45,51.2,,,
1178,2021-06-25 11:54:47.235314,AMC,2021-07-02,3.5,C,54.33100128173828,50.4,50.9,50.65,,,
1179,2021-06-25 11:54:47.235314,AMC,2021-07-02,4.0,C,54.33100128173828,49.7,50.45,50.075,,,
1180,2021-06-25 11:54:47.235314,AMC,2021-07-02,4.5,C,54.33100128173828,49.4,49.95,49.675,,,
1181,2021-06-25 11:54:47.235314,AMC,2021-07-02,5.0,C,54.33100128173828,48.9,49.45,49.175,,,
1182,2021-06-25 11:54:47.235314,AMC,2021-07-02,5.5,C,54.33100128173828,48.45,48.9,48.675,,,
1183,2021-06-25 11:54:47.236314,AMC,2021-07-02,6.0,C,54.33100128173828,47.95,48.4,48.175,,,
1184,2021-06-25 11:54:47.236314,AMC,2021-07-02,6.5,C,54.33100128173828,47.35,47.95,47.650000000000006,46.95,3.0,
1185,2021-06-25 11:54:47.236314,AMC,2021-07-02,7.0,C,54.33100128173828,46.85,47.4,47.125,,,
1186,2021-06-25 11:54:47.236314,AMC,2021-07-02,7.5,C,54.33100128173828,46.25,46.9,46.575,,,
1187,2021-06-25 11:54:47.236314,AMC,2021-07-02,8.0,C,54.33100128173828,45.7,46.65,46.175,45.8,4.0,
1188,2021-06-25 11:54:47.236314,AMC,2021-07-02,8.5,C,54.33100128173828,45.15,45.9,45.525,,,
1189,2021-06-25 11:54:47.236314,AMC,2021-07-02,9.0,C,54.33100128173828,44.8,45.4,45.099999999999994,,,
1190,2021-06-25 11:54:47.236314,AMC,2021-07-02,9.5,C,54.33100128173828,44.5,45.3,44.9,45.7,3.0,
1191,2021-06-25 11:54:47.236314,AMC,2021-07-02,10.0,C,54.33100128173828,44.15,44.4,44.275,43.7,14.0,
1192,2021-06-25 11:54:47.236314,AMC,2021-07-02,10.5,C,54.33100128173828,43.45,43.9,43.675,42.9,3.0,
1193,2021-06-25 11:54:47.236314,AMC,2021-07-02,11.0,C,54.33100128173828,42.75,43.45,43.1,43.0,3.0,
1194,2021-06-25 11:54:47.236314,AMC,2021-07-02,11.5,C,54.33100128173828,42.3,42.9,42.599999999999994,41.7,16.0,
1195,2021-06-25 11:54:47.236314,AMC,2021-07-02,12.0,C,54.33100128173828,41.8,42.5,42.15,41.8,10.0,
1196,2021-06-25 11:54:47.236314,AMC,2021-07-02,12.5,C,54.33100128173828,41.3,42.0,41.65,41.32,5.0,
1197,2021-06-25 11:54:47.236314,AMC,2021-07-02,13.0,C,54.33100128173828,40.95,41.45,41.2,40.8,31.0,
1198,2021-06-25 11:54:47.236314,AMC,2021-07-02,13.5,C,54.33100128173828,40.5,40.95,40.725,40.95,3.0,
1199,2021-06-25 11:54:47.236314,AMC,2021-07-02,14.0,C,54.33100128173828,39.75,40.55,40.15,40.85,11.0,
1200,2021-06-25 11:54:47.237317,AMC,2021-07-02,14.5,C,54.33100128173828,39.45,39.95,39.7,39.61,1.0,
1201,2021-06-25 11:54:47.237317,AMC,2021-07-02,15.0,C,54.33100128173828,38.85,39.6,39.225,39.7,29.0,
1202,2021-06-25 11:54:47.237317,AMC,2021-07-02,15.5,C,54.33100128173828,38.5,39.0,38.75,39.4,13.0,
1203,2021-06-25 11:54:47.237317,AMC,2021-07-02,16.0,C,54.33100128173828,38.05,38.4,38.224999999999994,37.4,1.0,
1204,2021-06-25 11:54:47.237317,AMC,2021-07-02,17.0,C,54.33100128173828,36.8,37.45,37.125,37.1,53.0,
1205,2021-06-25 11:54:47.237317,AMC,2021-07-02,18.0,C,54.33000183105469,36.05,36.45,36.25,35.95,3.0,
1206,2021-06-25 11:54:47.237317,AMC,2021-07-02,19.0,C,54.33000183105469,34.95,35.6,35.275000000000006,34.05,3.0,
1207,2021-06-25 11:54:47.237317,AMC,2021-07-02,20.0,C,54.33000183105469,34.05,34.45,34.25,34.0,174.0,
1208,2021-06-25 11:54:47.237317,AMC,2021-07-02,21.0,C,54.33000183105469,32.95,33.5,33.225,33.2,6.0,
1209,2021-06-25 11:54:47.237317,AMC,2021-07-02,22.0,C,54.33000183105469,31.9,32.5,32.2,32.15,9.0,
1210,2021-06-25 11:54:47.237317,AMC,2021-07-02,23.0,C,54.33000183105469,30.95,31.5,31.225,30.35,24.0,
1211,2021-06-25 11:54:47.237317,AMC,2021-07-02,24.0,C,54.33000183105469,29.9,30.5,30.2,30.2,12.0,
1212,2021-06-25 11:54:47.237317,AMC,2021-07-02,25.0,C,54.33000183105469,28.9,29.65,29.275,29.2,15.0,
1213,2021-06-25 11:54:47.237317,AMC,2021-07-02,26.0,C,54.33000183105469,27.95,28.6,28.275,27.95,5.0,
1214,2021-06-25 11:54:47.237317,AMC,2021-07-02,27.0,C,54.33000183105469,26.9,27.65,27.275,27.15,6.0,
1215,2021-06-25 11:54:47.238308,AMC,2021-07-02,28.0,C,54.33000183105469,26.0,26.55,26.275,26.4,34.0,
1216,2021-06-25 11:54:47.238308,AMC,2021-07-02,29.0,C,54.33000183105469,25.1,25.6,25.35,26.1,1.0,
1217,2021-06-25 11:54:47.238308,AMC,2021-07-02,30.0,C,54.33000183105469,24.35,24.55,24.450000000000003,24.45,45.0,
1218,2021-06-25 11:54:47.238308,AMC,2021-07-02,31.0,C,54.33000183105469,23.0,23.6,23.3,23.49,41.0,
1219,2021-06-25 11:54:47.238308,AMC,2021-07-02,32.0,C,54.33000183105469,22.0,22.65,22.325,21.75,31.0,
1220,2021-06-25 11:54:47.238308,AMC,2021-07-02,33.0,C,54.33000183105469,21.1,21.65,21.375,21.3,44.0,
1221,2021-06-25 11:54:47.238308,AMC,2021-07-02,34.0,C,54.33000183105469,20.3,20.65,20.475,20.5,20.0,
1222,2021-06-25 11:54:47.238308,AMC,2021-07-02,35.0,C,54.33000183105469,19.45,19.65,19.549999999999997,19.5,86.0,
1223,2021-06-25 11:54:47.238308,AMC,2021-07-02,36.0,C,54.33000183105469,18.5,18.8,18.65,18.45,6.0,
1224,2021-06-25 11:54:47.238308,AMC,2021-07-02,37.0,C,54.33000183105469,17.5,17.85,17.675,17.5,15.0,0.9938263767691126
1225,2021-06-25 11:54:47.238308,AMC,2021-07-02,38.0,C,54.33000183105469,16.5,16.85,16.675,16.35,26.0,0.9744517696511893
1226,2021-06-25 11:54:47.238308,AMC,2021-07-02,39.0,C,54.33000183105469,15.6,15.9,15.75,15.8,38.0,0.958743321665219
1227,2021-06-25 11:54:47.238308,AMC,2021-07-02,40.0,C,54.33000183105469,14.65,15.0,14.825,14.6,276.0,0.9565607478676446
1228,2021-06-25 11:54:47.239308,AMC,2021-07-02,41.0,C,54.33000183105469,13.65,14.1,13.875,13.9,424.0,0.9398928375114622
1229,2021-06-25 11:54:47.239308,AMC,2021-07-02,42.0,C,54.33000183105469,12.75,13.15,12.95,12.9,90.0,0.924359636329268
1230,2021-06-25 11:54:47.239308,AMC,2021-07-02,43.0,C,54.33000183105469,12.1,12.55,12.325,12.2,47.0,0.8892105532698392
